"Sinhala","English"
"ස්වේච්ඡා","acylation"
"ෆැන්ටසිය","aciliate"
"ෆෙඩරල්","aciliated"
"හකු","Acilius"
"හඬ","acylogen"
"හත","acyloin"
"හතරවන","acyloins"
"හතරැස්","acyloxy"
"හතළිහක්","acyloxymethane"
"හත්වන","acyls"
"හදන්න","Acima"
"හදවත","acinaceous"
"හදාගන්නවා","acinaces"
"හදිසි","acinacifoliate"
"හදිසියේ","acinacifolious"
"හදුනාගන්නවා","acinaciform"
"හඳුනාගන්න","acinacious"
"හපන්න","acinacity"
"හමුදා","acinar"
"හමුදාපති","acinary"
"හමුවීම","acinarious"
"හමුවෙනවා","Acineta"
"හය","Acinetae"
"හයියෙන්","acinetan"
"හරය","Acinetaria"
"හරස්","acinetarian"
"හරහා","acinetic"
"හරි","acinetiform"
"හරිත","Acinetina"
"හරියටම","acinetinan"
"හවුල්කාරිත්වය","acing"
"හසුරුව","acini"
"හස්තය","acinic"
"හහ්","aciniform"
"හාදුවක්","acinose"
"හානි","acinotubular"
"හානියක්","acinous"
"හායි","acinuni"
"හාරා","acinus"
"හාවා","acious"
"හාස්‍යජනකයි","Acipenser"
"හාස්‍යය","Acipenseres"
"හැකි","acipenserid"
"හැකියාව","Acipenseridae"
"හැකිලෙනවා","acipenserine"
"හැඟීම","acipenseroid"
"හැඟීම්","Acipenseroidei"
"හැඩය","acyrology"
"හැදින්වීම","acyrological"
"හැමෝම","Acis"
"හැර","acystia"
"හැරෙනවා","acitate"
"හැලොවීන්","acity"
"හැසිරවීම","aciurgy"
"හැසිරීම","ACK"
"හැසිරෙනවා","ack-ack"
"හිඟය","ackee"
"හිඟයක්","ackees"
"හිටපු","ackey"
"හිතන්න","ackeys"
"හිතවත්","Acker"
"හිතාමතාම","Ackerley"
"හිදී","Ackerly"
"හිම","Ackerman"
"හිමිකම","Ackermanville"
"හිමිකම්","Ackley"
"හිමිකරු","Ackler"
"හිරගෙදර","ackman"
"හිරු","ackmen"
"හිස","acknew"
"හිසකෙස්","acknow"
"හිසරදය","acknowing"
"හිස්","acknowledge"
"හිස්පැනික්","acknowledgeable"
"හිස්වැස්ම","acknowledged"
"හුදෙක්","acknowledgedly"
"හුරුපුරුදුය","acknowledgement"
"හුරුබුහුටි","acknowledgements"
"හුවමාරුව","acknowledger"
"හුස්ම","acknowledgers"
"හෙක්","acknowledges"
"හෙක්ටයාර්","acknowledging"
"හෙට","acknowledgment"
"හෙදියක්","acknowledgments"
"හෙලිකොප්ටරය","acknowledgment's"
"හේතුව","acknown"
"හේයි","ack-pirate"
"හොකී","ackton"
"හොඳ","Ackworth"
"හොඳම","ACL"
"හොඳයි","aclastic"
"හොඳින්","acle"
"හොරා","acleidian"
"හෝ","acleistocardia"
"හෝටල්","acleistous"
"හෝඩුවාවක්","Aclemon"
"හෝමෝනය","aclydes"
"හ්ම්","aclidian"
"ළඟ","aclinal"
"ළදරු","aclinic"
"ළදරුවා","aclys"
"ළමයා","a-clock"
"ළමා","acloud"
"ෙදපාර්තෙම්න්තුෙව්","ACLS"
