"Marathi","English"
"स्थूल","acquitter"
"स्नानगृह","acquitting"
"स्नायू","acquophonia"
"स्नॅप","acr-"
"स्पर्धक","Acra"
"स्पर्धा","Acrab"
"स्पर्धात्मक","acracy"
"स्पर्श","Acraea"
"स्पष्ट","acraein"
"स्पष्टपणे","Acraeinae"
"स्पष्टीकरण","acraldehyde"
"स्पीकर","Acrania"
"स्पॅनिश","acranial"
"स्पेक्ट्रम","acraniate"
"स्पॉट","acrasy"
"स्फोट","acrasia"
"स्मरणपत्र","Acrasiaceae"
"स्मारक","Acrasiales"
"स्मृती","acrasias"
"स्रोत","Acrasida"
"स्लाइड","Acrasieae"
"स्लिप","acrasin"
"स्लॅम","acrasins"
"स्वच्छ","Acraspeda"
"स्वत:","acraspedote"
"स्वतंत्र","acratia"
"स्वतः","acraturesis"
"स्वतःचे","acrawl"
"स्वतःला","acraze"
"स्वदेशी","Acre"
"स्वप्न","acreable"
"स्वयंचलित","acreage"
"स्वयंपाक","acreages"
"स्वयंपाकघर","acreak"
"स्वयंसेवक","acream"
"स्वर","acred"
"स्वरूप","acre-dale"
"स्वर्ग","Acredula"
"स्वस्त","acre-foot"
"स्वाक्षरी","acre-inch"
"स्वागत","acreman"
"स्वातंत्र्य","acremen"
"स्वादिष्ट","Acres"
"स्वामी","acre's"
"स्वार","acrestaff"
"स्वारस्य","a-cry"
"स्विंग","acrid"
"स्विच","acridan"
"स्वीकारा","acridane"
"स्वीकार्य","acrider"
"स्वीकृती","acridest"
"हं","acridian"
"हंगाम","acridic"
"हक्क","acridid"
"हजार","Acrididae"
"हटवा","Acridiidae"
"हताश","acridyl"
"हताशपणे","acridin"
"हत्ती","acridine"
"हत्या","acridines"
"हनुवटी","acridinic"
"हमी","acridinium"
"हम्म","acridity"
"हरभरा","acridities"
"हरवले","Acridium"
"हरीण","Acrydium"
"हलके","acridly"
"हलवा","acridness"
"हल्ला","acridnesses"
"हळुवारपणे","acridone"
"हळूवारपणे","acridonium"
"हळूहळू","acridophagus"
"हवा","acriflavin"
"हवामान","acriflavine"
"हशा","acryl"
"हसणे","acrylaldehyde"
"हस्तकला","Acrilan"
"हस्तक्षेप","acrylate"
"हस्तांतरण","acrylates"
"हाड","acrylic"
"हात","acrylics"
"हातमोजा","acrylyl"
"हाताळणे","acrylonitrile"
"हातोडा","acrimony"
"हानी","acrimonies"
"हाय","acrimonious"
"हायलाइट","acrimoniously"
"हार्डवेअर","acrimoniousness"
"हालचाल","acrindolin"
"हावभाव","acrindoline"
"हास्यास्पद","acrinyl"
"हिंसक","acrisy"
"हिंसा","acrisia"
"हिरवा","Acrisius"
"हिरा","Acrita"
"हिवाळा","acritan"
"हिस्पॅनिक","acrite"
"हुक","acrity"
"हुशार","acritical"
"हृदय","acritochromacy"
"हॅलोविन","acritol"
"हे","acritude"
"हेक","ACRNEMA"
"हेतू","acro-"
"हेलिकॉप्टर","Acroa"
"हॉकी","acroaesthesia"
"हॉटेल","acroama"
"हॉर्न","acroamata"
"हॉल","acroamatic"
"हॉलवे","acroamatical"
"होईल","acroamatics"
"होकार","acroanesthesia"
"होय","acroarthritis"
