"Lao","English"
"ລາກ","acecaffin"
"ລາຄາ","acecaffine"
"ລາຄາຖືກ","aceconitic"
"ລາຄາບໍ່ແພງ","aced"
"ລາງ​ວັນ","acedy"
"ລາງວັນ","acedia"
"ລາຊິນີ","acediamin"
"ລາຍ​ໄດ້","acediamine"
"ລາຍການ","acedias"
"ລາຍງານ","acediast"
"ລາຍລະອຽດ","ace-high"
"ລາຍຮັບ","Acey"
"ລາຍເຊັນ","acey-deucy"
"ລາດຊະວົງ","aceite"
"ລາດຕະເວນ","aceituna"
"ລາຕິນ","Aceldama"
"ລາວ","aceldamas"
"ລາອອກ","acellular"
"ລິຂະສິດ","Acemetae"
"ລິງ","Acemetic"
"ລິເລີ່ມ","acemila"
"ລີ້ນ","acenaphthene"
"ລີ້ນຊັກ","acenaphthenyl"
"ລີກ","acenaphthylene"
"ລຶບ","acenesthesia"
"ລືມ","acensuada"
"ລຸ່ມ","acensuador"
"ລຸ້ນ","acentric"
"ລຸກຂຶ້ນ","acentrous"
"ລຸງ","aceology"
"ລຸດລົງ","aceologic"
"ລູກ​ຄ້າ","aceous"
"ລູກ​ຈ້າງ","acephal"
"ລູກຂຸນ","Acephala"
"ລູກຄ້າ","acephalan"
"ລູກສອນ","Acephali"
"ລູກສອນໄຟ","acephalia"
"ລູກສາວ","Acephalina"
"ລູກຊາຍ","acephaline"
"ລູກປືນ","acephalism"
"ລູກເຮືອ","acephalist"
"ລົ້ນ","Acephalite"
"ລົ້ມລະລາຍ","acephalocyst"
"ລົ້ມເຫລວ","acephalous"
"ລົງ","acephalus"
"ລົງ​ທຶນ","acepots"
"ລົງຄະແນນສຽງ","acequia"
"ລົງຈອດ","acequiador"
"ລົງທະບຽນ","acequias"
"ລົງໂທດ","Acer"
"ລົດ","Aceraceae"
"ລົດ​ຖີບ","aceraceous"
"ລົດ​ແທັກ​ຊີ້","Acerae"
"ລົດຊາດ","Acerata"
"ລົດຕູ້","acerate"
"ລົດບັນທຸກ","acerated"
"ລົດຮັບສົ່ງ","Acerates"
"ລົດເມ","acerathere"
"ລົດໄຟ","Aceratherium"
"ລົບ","aceratosis"
"ລົບກວນ","acerb"
"ລົມ","Acerbas"
"ລົມຫາຍໃຈ","acerbate"
"ລຳ","acerbated"
"ລຳດັບ","acerbates"
"ລຳຕົ້ນ","acerbating"
"ລຳໄສ້","acerber"
"ລັກ","acerbest"
"ລັກສະນະ","acerbic"
"ລັງສີ","acerbically"
"ລັງເລ","acerbity"
"ລັດ","acerbityacerose"
"ລັດສະຫມີພາບ","acerbities"
"ລັດຖະສະພາ","acerbitude"
"ລັດຖະທຳມະນູນ","acerbly"
"ລັດຖະທໍາມະນູນ","acerbophobia"
"ລັດຖະບານ","acerdol"
"ລັດຖະບານກາງ","aceric"
"ລັດຖະບັນຍັດ","acerin"
"ລັດຖະມົນຕີ","acerli"
"ລັດເຊຍ","acerola"
"ລັອກ","acerolas"
"ລໍ້","acerose"
"ລໍຖ້າ","acerous"
"ລໍາໂພງ","acerra"
"ວ່າງ","acers"
"ວ້າວ","acertannin"
"ວະລີ","acerval"
"ວາງ","acervate"
"ວາງສະແດງ","acervately"
"ວາງສາຍ","acervatim"
"ວາດພາບ","acervation"
"ວາລະ","acervative"
"ວາລະສານ","acervose"
"ວິ​ທະ​ຍຸ​","acervuli"
"ວິກິດການ","acervuline"
"ວິຈານ","acervulus"
"ວິສະວະກອນ","aces"
"ວິສະວະກໍາ","ace's"
"ວິສາຫະກິດ","acescence"
"ວິຊາ","acescency"
"ວິຊາການ","acescent"
"ວິຊາສະເພາະ","acescents"
"ວິດີໂອ","aceship"
"ວິຕາມິນ","Acesius"
"ວິຖີຊີວິດ","acesodyne"
"ວິທະຍາສາດ","acesodynous"
"ວິທະຍາເຂດ","Acessamenus"
"ວິທະຍາໄລ","Acestes"
"ວິທີການ","acestoma"
"ວິລະຊົນ","acet-"
"ວິວັດທະນາການ","aceta"
"ວິເຄາະ","acetable"
"ວິໄສທັດ","acetabula"
"ວຸ່ນວາຍ","acetabular"
"ວົງ","Acetabularia"
"ວົງຈອນ","acetabuliferous"
"ວົງດົນຕີ","acetabuliform"
"ວົງໂຄຈອນ","acetabulous"
"ວຽກ","acetabulum"
"ວຽກ​ບ້ານ","acetabulums"
"ວຽກງານ","acetacetic"
"ວຽງຈັນຝົນ","acetal"
"ວັກ","acetaldehydase"
"ວັກຊີນ","acetaldehyde"
"ວັດ","acetaldehydrase"
"ວັດສະດຸ","acetaldol"
"ວັດສະດຸປ້ອນ","acetalization"
"ວັດຖຸ","acetalize"
"ວັດທະນະທໍາ","acetals"
"ວັນ​ສຸກ","acetamid"
"ວັນຄົບຮອບ","acetamide"
"ວັນຈັນ","acetamidin"
"ວັນທີ","acetamidine"
"ວັນນະຄະດີ","acetamido"
"ວັນພະຫັດ","acetamids"
"ວັນພຸດ","acetaminol"
"ວັນພັກ","Acetaminophen"
"ວັນອາທິດ","acetanilid"
"ວັນອັງຄານ","acetanilide"
"ວັນຮາໂລວີນ","acetanion"
"ວັນເສົາ","acetaniside"
"ວັນເດືອນປີເກີດ","acetanisidide"
"ຫ່າງ","acetanisidine"
"ຫ່າງໄກ","acetannin"
"ຫ້ວຍ","acetary"
"ຫ້ອງ","acetarious"
"ຫ້ອງ​ຮຽນ","acetars"
"ຫ້ອງການ","acetarsone"
"ຫ້ອງສານ","acetate"
"ຫ້ອງທົດລອງ","acetated"
"ຫ້ອງນ້ຳ","acetates"
"ຫ້ອງນອນ","acetation"
"ຫ້ອງຮຽນ","acetazolamide"
"ຫ້ອງໂດຍສານ","acetbromamide"
"ຫ້ອງໂຖງ","acetenyl"
"ຫ້ອງໃຕ້ດິນ","Acetes"
"ຫ້າ","acethydrazide"
"ຫ້າສິບ","acetiam"
"ຫ້າມ","acetic"
"ຫຍ້າ","acetify"
"ຫຍາບຄາຍ","acetification"
"ຫຍັງ","acetified"
"ຫຍໍ້","acetifier"
"ຫຍໍ້ລົງ","acetifies"
"ຫນ້ອຍ","acetifying"
"ຫນ້າ","acetyl"
"ຫນ້າ​ກາກ","acetylacetonates"
"ຫນ້າສົນໃຈ","acetylacetone"
"ຫນ້າທີ່","acetylamine"
"ຫນ້າຫວາດສຽວ","acetylaminobenzene"
"ຫນ້າເອິກ","acetylaniline"
"ຫນີ","acetylasalicylic"
"ຫນີ້ສິນ","acetylate"
"ຫນຶ່ງ","acetylated"
"ຫນຸ່ມ","acetylating"
"ຫນູ","acetylation"
"ຫນັງ","acetylative"
"ຫນັງ​ສື​ພິມ","acetylator"
"ຫມາກ​ເລັ່ນ","acetylbenzene"
"ຫມາກແຫ້ງເປືອກແຂງ","acetylbenzoate"
"ຫມາຍ​ເຫດ​","acetylbenzoic"
"ຫມາຍຄວາມວ່າ","acetylbiuret"
"ຫມີ","acetylcarbazole"
"ຫມູ","acetylcellulose"
"ຫມໍ້","acetylcholine"
"ຫມໍ້ໄຟ","acetylcholinesterase"
"ຫລີກໄປທາງຫນຶ່ງ","acetylcholinic"
"ຫລຸດລົງ","acetylcyanide"
"ຫລັງ","acetylenation"
"ຫລັງຄາ","acetylene"
"ຫລັງຈາກນັ້ນ","acetylenediurein"
"ຫວ່າງ","acetylenes"
"ຫວ່າງມໍ່ໆນີ້","acetylenic"
"ຫວ່າງເປົ່າ","acetylenyl"
"ຫວານ","acetylenogen"
"ຫວັງເປັນຢ່າງຍິ່ງ","acetylfluoride"
"ຫາງ","acetylglycin"
"ຫາຍ","acetylglycine"
"ຫາຍ​ໄປ","acetylhydrazine"
"ຫາຍາກ","acetylic"
"ຫາຍໃຈ","acetylid"
"ຫາດ​ຊາຍ","acetylide"
"ຫິມະ","acetyliodide"
"ຫິວ","acetylizable"
"ຫີນ","acetylization"
"ຫຸ່ນຍົນ","acetylize"
"ຫຸ້ນ","acetylized"
"ຫຸ້ນສ່ວນ","acetylizer"
"ຫູ","acetylizing"
"ຫົກ","acetylmethylcarbinol"
"ຫົວ","acetylperoxide"
"ຫົວ​ເຂົ່າ","acetylphenylhydrazine"
"ຫົວຂໍ້","acetylphenol"
"ຫົວຫນ້າ","acetylrosaniline"
"ຫົວເລາະ","acetyls"
"ຫົວໃຈ","acetylsalicylate"
"ຫຼ້າສຸດ","acetylsalicylic"
"ຫຼາກຫຼາຍຊະນິດ","acetylsalol"
"ຫຼາຍ","acetyltannin"
"ຫຼາຍເກີນໄປ","acetylthymol"
"ຫຼິ້ນ","acetyltropeine"
"ຫຼີກລ່ຽງບໍ່ໄດ້","acetylurea"
"ຫຼີກລ້ຽງ","acetimeter"
"ຫຼື","acetimetry"
"ຫຼຸດຜ່ອນ","acetimetric"
"ຫຼຸດລົງ","acetin"
"ຫຼຽນ","acetine"
"ຫຼັກ","acetins"
"ຫຼັກການ","acetite"
"ຫຼັກສູດ","acetize"
"ຫຼັກຊັບ","acetla"
"ຫຼັກຖານ","acetmethylanilide"
"ຫຼັງຈາກ","acetnaphthalide"
"ຫັກ","aceto-"
"ຫັດຖະກໍາ","acetoacetanilide"
"ຫັນ","acetoacetate"
"ຫັນປ່ຽນ","acetoacetic"
"ຫໍ","acetoamidophenol"
"ຫໍ່","acetoarsenite"
"ຫໍສະໝຸດ","Acetobacter"
"ໜ່ວຍ","acetobenzoic"
"ໜ້ອຍທີ່ສຸດ","acetobromanilide"
"ໜ້ອຍລົງ","acetochloral"
"ໜ້າສົນໃຈ","acetocinnamene"
"ໜ້າຕາ","acetoin"
"ໜ້າທີ່","acetol"
"ໜ້າຜາກ","acetolysis"
"ໜ້າຮັກ","acetolytic"
"ໜອງ","acetometer"
"ໜາ","acetometry"
"ໜູ","acetometric"
"ໜັກ","acetometrical"
"ໜັກແໜ້ນ","acetometrically"
"ໝວກ","acetomorphin"
"ໝວກກັນກະທົບ","acetomorphine"
"ໝອນ","acetonaemia"
"ໝາ","acetonaemic"
"ໝາກກອກ","acetonaphthone"
"ໝາກນາວ","acetonate"
"ໝາກໂປມ","acetonation"
"ໝາກໄມ້","acetone"
"ໝາປ່າ","acetonemia"
"ໝຸນ","acetonemic"
"ໝູນໃຊ້","acetones"
"ໝົດຫວັງ","acetonic"
"ໝັ້ນຄົງ","acetonyl"
"ໝັ້ນໃຈ","acetonylacetone"
"ອ່ອນ","acetonylidene"
"ອ່ອນໆ","acetonitrile"
"ອ່ອນເພຍ","acetonization"
"ອ່ອນໂຍນ","acetonize"
"ອ່ອນໄຫວ","acetonuria"
"ອ່ານ","acetonurometer"
"ອ່າວ","acetophenetide"
"ອ້ອນວອນ","acetophenetidin"
"ອ້ອມ​ຂ້າງ","acetophenetidine"
"ອ້າງອິງ","acetophenin"
"ອ້າງອີງ","acetophenine"
"ອ້າງເຖິງ","acetophenone"
"ອ້າຍ","acetopiperone"
"ອ້າຍ​ນ້ອງ","acetopyrin"
"ອ້າວ","acetopyrine"
"ອວຍພອນ","acetosalicylic"
"ອອກ","acetose"
"ອອກ​ກໍາ​ລັງ​ກາຍ","acetosity"
"ອອກ​ກໍາ​ລັງ​ກາຍ​","acetosoluble"
"ອອກ​ແບບ","acetostearin"
"ອອກມາ","acetothienone"
"ອອກອາກາດ","acetotoluid"
"ອອກໄປ","acetotoluide"
"ອອນສ໌","acetotoluidine"
"ອອນໄລນ໌","acetous"
"ອະຄະຕິ","acetoveratrone"
"ອະດີດ","acetoxyl"
"ອະທິການ","acetoxyls"
"ອະທິຖານ","acetoxim"
"ອະທິບາຍ","acetoxime"
"ອະນາຄົດ","acetoxyphthalide"
"ອະນຸສອນ","acetphenetid"
"ອະນຸຍາດ","acetphenetidin"
"ອະນຸພາກ","acetract"
"ອະນຸມັດ","acettoluide"
"ອະນຸລັກ","acetum"
"ອະໄວຍະວະ","aceturic"
"ອາກາດ","ACF"
"ອາການ","ACGI"
"ອາຄານ","ac-globulin"
"ອາຈານ","ACH"
"ອາສາສະໝັກ","Achab"
"ອາຊະຍາກໍາ","Achad"
"ອາຊິດ","Achaea"
"ອາຊີ","Achaean"
"ອາຊີບ","Achaemenes"
"ອາຍ","Achaemenian"
"ອາຍຸ","Achaemenid"
"ອາຍແກັສ","Achaemenidae"
"ອາດ","Achaemenides"
"ອາດຈະເປັນ","Achaemenidian"
"ອາທິດ","Achaemenids"
"ອານາຈັກ","achaenocarp"
"ອານານິຄົມ","Achaenodon"
"ອານາເຂດ","Achaeta"
"ອານຸສາວະລີ","achaetous"
"ອາບ","Achaeus"
"ອາບນໍ້າ","achafe"
"ອາພາດເມັນ","achage"
"ອາຟຣິກາ","Achagua"
"ອາຟຣິກາ-ອາເມລິກາ","Achaia"
"ອາລຸນ","Achaian"
"ອາລົມ","Achakzai"
"ອາວຸດ","achalasia"
"ອາວຸໂສ","Achamoth"
"ອາຫານ","Achan"
"ອາຫານທ່ຽງ","Achango"
"ອາຫານເຊົ້າ","achape"
"ອາເມຣິກາ","achaque"
"ອິສຣາ​ແອ​ລ","achar"
"ອິສລາມ","acharya"
"ອິດ​ສາ","Achariaceae"
"ອິດທິພົນ","Achariaceous"
"ອິນຊີ","acharne"
"ອິນເດຍ","acharnement"
"ອິນເຕີເນັດ","Acharnians"
"ອີກຕໍ່ໄປ","achate"
"ອີກເທື່ອຫນຶ່ງ","Achates"
"ອີງຕາມ","Achatina"
"ອີຕາລີ","Achatinella"
"ອີຣ່ານ","Achatinidae"
"ອີຣັກ","achatour"
"ອີເມລ","Achaz"
"ອີເມວ","ache"
"ອື່ນ","acheat"
"ອື່ນໆ","achech"
"ອຸ່ນ","acheck"
"ອຸດສາຫະກໍາ","ached"
"ອຸດົມການ","acheer"
"ອຸດົມສົມບູນ","ACHEFT"
"ອຸທອນ","acheilary"
"ອຸທິດຕົນ","acheilia"
"ອຸນ​ຫະ​ພູມ","acheilous"
"ອຸບັດເຫດ","acheiria"
"ອຸປະກອນ","acheirous"
"ອຸປະສັກ","acheirus"
"ອຸປະຖໍາ","Achelous"
"ອຸໂມງ","Achen"
"ອົກຊີ","achene"
"ອົງການ","achenes"
"ອົງການຈັດຕັ້ງ","achenia"
"ອົງປະກອບ","achenial"
"ອົດທົນ","achenium"
"ອົບ","achenocarp"
"ອົບພະຍົບ","achenodia"
"ອຳນາດ","achenodium"
"ອັງກິດ","acher"
"ອັດສະຈັນ","Acherman"
"ອັດສະລິຍະ","Achernar"
"ອັດຕະໂນມັດ","Acheron"
"ອັດຕາ","Acheronian"
"ອັດຕາສ່ວນ","Acherontic"
"ອັດຕາເງິນເຟີ້","Acherontical"
"ອັນດັບ","aches"
"ອັນຕະລາຍ","Acheson"
"ອັນທີ່ເອີ້ນວ່າ","achesoun"
"ອັນຟາ","achete"
"ອັນລະບັ້ມ","Achetidae"
"ອັບເດດ","Acheulean"
"ອໍານວຍຄວາມສະດວກ","Acheulian"
"ຮ່ວມ","acheweed"
"ຮ່ວມກັນ","achy"
"ຮ່ວມມື","achier"
"ຮ່ອມພູ","achiest"
"ຮ່າງ","achievability"
"ຮ່າງກາຍ","achievable"
"ຮ້ອງ","achieve"
"ຮ້ອງຂໍ","achieved"
"ຮ້ອງເພງ","achievement"
"ຮ້ອງໄຫ້","achievements"
"ຮ້ອຍ","achievement's"
"ຮ້ອຍໂທ","achiever"
"ຮ້ອນ","achievers"
"ຮ້າຍ​ແຮງ","achieves"
"ຮ້າຍແຮງ","achieving"
"ຮ້ານ","ach-y-fi"
"ຮ້ານຄ້າປີກ","achigan"
"ຮ້ານອາຫານ","achilary"
"ຮຕ","achylia"
"ຮວບຮວມ","Achill"
"ຮອງ","Achille"
"ຮອງຮັບ","Achillea"
"ຮອຍຂີດຂ່ວນ","Achillean"
"ຮອຍແຕກ","achilleas"
"ຮອດກຳນົດ","Achilleid"
"ຮອບ","achillein"
"ຮອບຊິງຊະນະເລີດ","achilleine"
"ຮອບວຽນ","Achilles"
"ຮາກ","Achillize"
"ຮາດແວ","achillobursitis"
"ຮາບພຽງ","achillodynia"
"ຮີບຮ້ອນ","achilous"
"ຮື","achylous"
"ຮືມ","Achimaas"
"ຮຸກຮານ","achime"
"ຮຸນແຮງ","Achimelech"
"ຮູ້","Achimenes"
"ຮູ້ຈັກ","achymia"
"ຮູ້ສຶກ","achymous"
"ຮູ້ບຸນຄຸນ","Achinese"
"ຮູ້ຫນັງສື","achiness"
"ຮູກົ້ນ","achinesses"
"ຮູບ","aching"
"ຮູບ​ເງົາ","achingly"
"ຮູບຄົນ","achiote"
"ຮູບປັ້ນ","achiotes"
"ຮູບພາບ","achira"
"ຮູບລັກສະນະ","Achyranthes"
"ຮູບຮ່າງ","achirite"
"ຮູບເງົາ","Achyrodes"
"ຮູບແບບ","Achish"
"ຮົ່ມ","Achitophel"
"ຮົ່ວ","achkan"
"ຮົ້ວ","achlamydate"
"ຮົບ","Achlamydeae"
"ຮຽກຮ້ອງ","achlamydeous"
"ຮຽນ​ຮູ້","achlorhydria"
"ຮຽນຈົບ","achlorhydric"
"ຮັ່ງມີ","achlorophyllous"
"ຮັກ","achloropsia"
"ຮັກ​ສາ​ສຸ​ຂະ​ພາບ","achluophobia"
"ຮັກສາ","Achmed"
"ຮັກແພງ","Achmetha"
"ຮັງ","achoke"
"ຮັງສີ","acholia"
"ຮັບ","acholias"
"ຮັບ​ຮູ້","acholic"
"ຮັບສະໝັກ","Acholoe"
"ຮັບປະກັນ","acholous"
"ຮັບຜິດຊອບ","acholuria"
"ຮັບມືກັບ","acholuric"
"ຮັບຮອງ","Achomawi"
"ຮັບຮອງເອົາ","achondrite"
"ຮັບຮູ້","achondritic"
"ຮັບໃຊ້","achondroplasia"
"ຮໍໂມນ","achondroplastic"
"ເກ","achoo"
"ເກນ","achor"
"ເກມ","achordal"
"ເກາະ","Achordata"
"ເກີດ","achordate"
"ເກີດຂຶ້ນ","Achorion"
"ເກີນ","Achorn"
"ເກີບ","Achras"
"ເກືອ","achree"
"ເກືອບ","achroacyte"
"ເກືອບ​ທັງ​ຫມົດ","Achroanthes"
"ເກົ່າ","achrodextrin"
"ເກົ້າ","achrodextrinase"
"ເກົ້າອີ້","achroglobin"
"ເກົາຫຼີ","achroiocythaemia"
"ເກັ່ງ","achroiocythemia"
"ເກັບກໍາ","achroite"
"ເຂດ","achroma"
"ເຂດຮ້ອນ","achromacyte"
"ເຂດແດນ","achromasia"
"ເຂົ້າ","achromat"
"ເຂົ້າ​ຈີ່","achromat-"
"ເຂົ້າສາລີ","achromate"
"ເຂົ້າຫນົມຫວານ","Achromatiaceae"
"ເຂົ້າໜົມ","achromatic"
"ເຂົ້າຮ່ວມ","achromatically"
"ເຂົ້າເຖິງໄດ້","achromaticity"
"ເຂົ້າໄປໃນ","achromatin"
"ເຂົ້າໃຈ","achromatinic"
"ເຂົາ","achromatisation"
"ເຂົາເຈົ້າ","achromatise"
"ເຂັ້ມແຂງ","achromatised"
"ເຂັມ","achromatising"
"ເຄມີ","achromatism"
"ເຄມີສາດ","Achromatium"
"ເຄາະ","achromatizable"
"ເຄິ່ງ","achromatization"
"ເຄິ່ງທາງ","achromatize"
"ເຄີຍ","achromatized"
"ເຄື່ອງ","achromatizing"
"ເຄື່ອງ​ມື","achromatocyte"
"ເຄື່ອງຈັກ","achromatolysis"
"ເຄື່ອງນຸ່ງ","achromatope"
"ເຄື່ອງປະດັບ","achromatophil"
"ເຄື່ອງໝາຍ","achromatophile"
"ເຄື່ອງແຕ່ງກາຍ","achromatophilia"
"ເຄື່ອນໄຫວ","achromatophilic"
"ເຄືອ​ຂ່າຍ​","achromatopia"
"ເຄົາລົບ","achromatopsy"
"ເຄັ່ງຄັດ","achromatopsia"
"ເຄັກ","achromatosis"
"ເງິນ","achromatous"
"ເງິນກູ້","achromats"
"ເງິນສົດ","achromaturia"
"ເງິນຕາ","achromia"
"ເງິນບໍານານ","achromic"
"ເງິນຝາກ","Achromycin"
"ເງິນອຸດໜູນ","Achromobacter"
"ເງິນເດືອນ","Achromobacterieae"
"ເງື່ອນໄຂ","achromoderma"
"ເງົາ","achromophilous"
"ເຈ້ຍ","achromotrichia"
"ເຈຍ","achromous"
"ເຈລະຈາ","achronical"
"ເຈາະ","achronychous"
"ເຈົ້າ","achronism"
"ເຈົ້າຂອງ","achroo-"
"ເຈົ້າສາວ","achroodextrin"
"ເຈົ້າຊາຍ","achroodextrinase"
"ເຈົ້າຍິງ","achroous"
"ເຈົ້ານາຍ","achropsia"
"ເຈົ້າພາບ","Achsah"
"ເຈົ້າໜ້າທີ່","achtehalber"
"ເຈົ້າເມືອງ","achtel"
"ເຈົ້າແຂວງ","achtelthaler"
"ເຈັດ","achter"
"ເຈັບ","achterveld"
"ເຈັບປ່ວຍ","Achuas"
"ເຈັບປວດ","achuete"
"ເຈັບຫົວ","acy"
"ເສຍ​ໃຈ","acyanoblepsia"
"ເສຍໃຈ","acyanopsia"
"ເສດສ່ວນ","acichlorid"
"ເສດຖະກິດ","acichloride"
"ເສດຖະສາດ","acyclic"
"ເສລີ","acyclically"
"ເສລີພາບ","acicula"
"ເສີມ","aciculae"
"ເສີມຂະຫຍາຍ","acicular"
"ເສື້ອ","acicularity"
"ເສື້ອກັນໜາວ","acicularly"
"ເສື້ອຍືດ","aciculas"
"ເສືອ","aciculate"
"ເສົາ","aciculated"
"ເສັ້ນສະແດງ","aciculum"
"ເສັ້ນດ່າງ","aciculums"
"ເສັ້ນທາງ","acid"
"ເສັ້ນປະສາດ","acidaemia"
"ເສັ້ນເລືອດຕັນໃນ","Acidalium"
"ເສັ້ນໂຄ້ງ","Acidanthera"
"ເສັ້ນໄຍ","Acidaspis"
"ເຊລ","acid-binding"
"ເຊິ່ງ","acidemia"
"ເຊິ່ງກັນແລະກັນ","acidemias"
"ເຊີນ","acider"
"ເຊີບເວີ","acid-fast"
"ເຊື່ອ","acid-fastness"
"ເຊື່ອງ","acid-forming"
"ເຊື່ອງໄວ້","acidhead"
"ເຊື່ອຖືໄດ້","acid-head"
"ເຊື່ອມຕໍ່","acidheads"
"ເຊື່ອໝັ້ນ","acidy"
"ເຊື້ອຊາດ","acidic"
"ເຊື້ອແບັກທີເຣັຍ","acidiferous"
"ເຊືອກ","acidify"
"ເຊົ່າ","acidifiable"
"ເຊົາ","acidifiant"
"ເຊັ່ນດຽວກັນ","acidific"
"ເຊັກຊີ່","acidification"
"ເຊັດ","acidified"
"ເຊັນ","acidifier"
"ເຊັນເຊີ","acidifiers"
"ເດີ່ນ","acidifies"
"ເດີນ​ທາງ","acidifying"
"ເດີມ","acidyl"
"ເດີມພັນ","acidimeter"
"ເດືອນ","acidimetry"
"ເດືອນກຸມພາ","acidimetric"
"ເດືອນສິງຫາ","acidimetrical"
"ເດືອນທັນວາ","acidimetrically"
"ເດືອນພະຈິກ","acidite"
"ເດືອນມິຖຸນາ","acidity"
"ເດົາ","acidities"
"ເດັ່ນ","acidize"
"ເດັກຊາຍ","acidized"
"ເດັກນ້ອຍ","acidizing"
"ເຕະ","acidly"
"ເຕີບໃຫຍ່","acidness"
"ເຕືອນ","acidnesses"
"ເຕືອນໄພ","acidogenic"
"ເຕົ່າ","acidoid"
"ເຕົ້ານົມ","acidolysis"
"ເຕົ້າໂຮມ","acidology"
"ເຕົາອົບ","acidometer"
"ເຕັ້ນ","acidometry"
"ເຕັກ​ໂນ​ໂລ​ຊີ","acidophil"
"ເຕັກ​ໂນ​ໂລ​ຊີ​","acidophile"
"ເຕັກນິກ","acidophilic"
"ເຕັກໂນໂລຊີ","acidophilous"
"ເຕັມ","acidophilus"
"ເຕັມ​ເວ​ລາ","acidoproteolytic"
"ເຕັມໃຈ","acidoses"
"ເຖິງແມ່ນວ່າ","acidosis"
"ເຖົ້າ","acidosteophyte"
"ເທ","acidotic"
"ເທດສະໜາ","acidproof"
"ເທບ","acids"
"ເທວະດາ","acid-treat"
"ເທິງ","acidulant"
"ເທົ່າ​ທຽມ​ກັນ","acidulate"
"ເທົ່າທຽມກັນ","acidulated"
"ເທົ່ານັ້ນ","acidulates"
"ເທັນນິດ","acidulating"
"ເນີ້ງ","acidulation"
"ເນີຍແຂງ","acidulent"
"ເນື່ອງຈາກວ່າ","acidulous"
"ເນື້ອງອກ","acidulously"
"ເນື້ອໜັງ","acidulousness"
"ເນື້ອເຍື່ອ","aciduria"
"ເນື້ອເພງ","acidurias"
"ເນື້ອໃນ","aciduric"
"ເນັ້ນໜັກ","Acie"
"ເບສບອນ","acier"
"ເບຍ","acierage"
"ເບິ່ງ","Acieral"
"ເບິ່ງຄືວ່າ","acierate"
"ເບິ່ງບໍ່ເຫັນ","acierated"
"ເບີກບານ","acierates"
"ເບີເກີ","acierating"
"ເບື່ອ","acieration"
"ເບື້ອງຕົ້ນ","acies"
"ເບົາໆ","acyesis"
"ເປຍໂນ","acyetic"
"ເປີດ","aciform"
"ເປີດຕົວ","acyl"
"ເປີດເຜີຍ","acylal"
"ເປີດໃຊ້","acylamido"
"ເປີເຊັນ","acylamidobenzene"
"ເປື້ອນ","acylamino"
"ເປືອກຫຸ້ມນອກ","acylase"
"ເປືອຍກາຍ","acylate"
"ເປົ່າ","acylated"
"ເປົ້າ​ຫມາຍ","acylates"
"ເປົ້າໝາຍ","acylating"
"ເປັດ","acylation"
"ເປັນ","aciliate"
"ເປັນ​ປະ​ໂຫຍດ","aciliated"
"ເປັນກາງ","Acilius"
"ເປັນຂອງ","acylogen"
"ເປັນຕາຢ້ານ","acyloin"
"ເປັນບາງໂອກາດ","acyloins"
"ເປັນປະໂຫຍດ","acyloxy"
"ເປັນປົກກະຕິ","acyloxymethane"
"ເປັນພະຍານ","acyls"
"ເປັນພິດ","Acima"
"ເປັນມິດ","acinaceous"
"ເປັນຫ່ວງ","acinaces"
"ເປັນຫຍັງ","acinacifoliate"
"ເປັນໜີ້","acinacifolious"
"ເປັນເອກະລັກ","acinaciform"
"ເປັນໄປບໍ່ໄດ້","acinacious"
"ເປັນໄປໄດ້","acinacity"
"ເຜິ້ງ","acinar"
"ເຜີຍແຜ່","acinary"
"ເຜົ່າ","acinarious"
"ເພ​ດານ","Acineta"
"ເພງ","Acinetae"
"ເພດ","acinetan"
"ເພາະສະນັ້ນ","Acinetaria"
"ເພິ່ງພາອາໄສ","acinetarian"
"ເພີ່ມ","acinetic"
"ເພີ່ມ​ຂຶ້ນ","acinetiform"
"ເພີ່ມຂຶ້ນ","Acinetina"
"ເພີ່ມເຕີມ","acinetinan"
"ເພີ້ມ","acing"
"ເພື່ອນ","acini"
"ເພື່ອນບ້ານ","acinic"
"ເພື່ອນຮ່ວມງານ","aciniform"
"ເພື່ອນຮ່ວມທີມ","acinose"
"ເພັດ","acinotubular"
"ເຟີນິເຈີ","acinous"
"ເມສາ","acinuni"
"ເມຍ","acinus"
"ເມນູ","acious"
"ເມລ","Acipenser"
"ເມື່ອ​ໃດ​","Acipenseres"
"ເມື່ອຍ","acipenserid"
"ເມື່ອບໍ່ດົນມານີ້","Acipenseridae"
"ເມືອງ","acipenserine"
"ເມົາເຫຼົ້າ","acipenseroid"
"ເມັກຊິໂກ","Acipenseroidei"
"ເມັດ","acyrology"
"ເມັດພືດ","acyrological"
"ເຢຍລະມັນ","Acis"
"ເຢັນ","acystia"
"ເຣດາ","acitate"
"ເລກ","acity"
"ເລຂາທິການ","aciurgy"
"ເລນ","ACK"
"ເລິກ","ack-ack"
"ເລິກຊຶ້ງ","ackee"
"ເລີ່ມ","ackees"
"ເລີ່ມຕົ້ນ","ackey"
"ເລື່ອງ","ackeys"
"ເລື່ອນ","Acker"
"ເລື້ອຍໆ","Ackerley"
"ເລືອກ","Ackerly"
"ເລືອກຕັ້ງ","Ackerman"
"ເລືອດ","Ackermanville"
"ເລືອດອອກ","Ackley"
"ເລເຊີ","Ackler"
"ເລັກນ້ອຍ","ackman"
"ເວ​ລາ​ດົນ​ນານ","ackmen"
"ເວທີ","acknew"
