"Bosnian","English"
"vjera","Actipylea"
"vjerni","Actis"
"vjernik","Actium"
"vjerovanje","activable"
"vjerovati","activate"
"vjerovatno","activated"
"vjerovatnoća","activates"
"vjerski","activating"
"vještački","activation"
"vještica","activations"
"vještina","activator"
"vjetar","activators"
"vježbati","activator's"
"vježbe","active"
"vlada","active-bodied"
"vladati","actively"
"vlakna","active-limbed"
"vlasnik","active-minded"
"vlasništvo","activeness"
"vlastiti","actives"
"voće","activin"
"vođa","activism"
"vode","activisms"
"vodeći","activist"
"vođenje","activistic"
"vodič","activists"
"vodstvo","activist's"
"vojni","activital"
"vojnik","activity"
"vokabular","activities"
"vokal","activity's"
"volan","activize"
"voljan","activized"
"voljeni","activizing"
"volonter","actless"
"volumen","actomyosin"
"vote","Acton"
"voz","Actor"
"vozač","actory"
"vozilo","Actoridae"
"voziti","actorish"
"vožnje","actor-manager"
"vrat","actor-proof"
"vrata","actors"
"vredi","actor's"
"vrhovni","actorship"
"vrhunac","actos"
"vrijedan","ACTPU"
"vrijednost","actress"
"vrijeme","actresses"
"vrisak","actressy"
"vrlina","actress's"
"vrlo","ACTS"
"vrsta","ACTU"
"vrste","actual"
"vrt","actualisation"
"vruće","actualise"
"vrućica","actualised"
"vs","actualising"
"vuk","actualism"
"web","actualist"
"western","actualistic"
"wow","actuality"
"za","actualities"
"zabava","actualization"
"zaboraviti","actualizations"
"zabrana","actualize"
"zabraniti","actualized"
"zabrinuti","actualizes"
"zabrinutost","actualizing"
"začeti","actually"
"zadaća","actualness"
"zadatak","actuals"
"zadnji","actuary"
"zadovoljiti","actuarial"
"zadovoljna","actuarially"
"zadovoljstvo","actuarian"
"zadržati","actuaries"
"zagađenje","actuaryship"
"zagrijavanje","actuate"
"zagrliti","actuated"
"zagrljaj","actuates"
"zahtijevaju","actuating"
"zahtjev","actuation"
"zahvalan","actuator"
"zahvaljivanje","actuators"
"zainteresovani","actuator's"
"zaista","actuose"
"zajam","ACTUP"
"zajednica","acture"
"zajedno","acturience"
"zakazivanje","actus"
"zaključak","actutate"
"zaključiti","act-wait"
"zakon","ACU"
"zakonodavac","acuaesthesia"
"zakonodavni","Acuan"
"zakonodavstvo","acuate"
"žalba","acuating"
"zaliv","acuation"
"žaljenje","Acubens"
"žalost","acuchi"
"zamah","acuclosure"
"zamijeniti","acuductor"
"zamislite","acuerdo"
"zamjena","acuerdos"
"zamjenik","acuesthesia"
"zamotati","acuity"
"zamrznuti","acuities"
"zanimanje","aculea"
"zanimljivo","aculeae"
"žanr","Aculeata"
"zapad","aculeate"
"zapamti","aculeated"
"zapanjujuce","aculei"
"zaposlenik","aculeiform"
"zaposliti","aculeolate"
"zapošljavanje","aculeolus"
"zapravo","aculeus"
"zarade","acumble"
"zaraditi","acumen"
"zasluga","acumens"
"zaslužuju","acuminate"
"zaspati","acuminated"
"zastava","acuminating"
"zaštita","acumination"
"zaštititi","acuminose"
"zaštitni","acuminous"
"zašto","acuminulate"
"zatvor","acupress"
"zatvorenik","acupressure"
"zatvoreno","acupunctuate"
"zatvori","acupunctuation"
"zatvoriti","acupuncturation"
"zauvijek","acupuncturator"
"zauzeto","acupuncture"
"zavisan","acupunctured"
"zavisiti","acupunctures"
"zavisno","acupuncturing"
"zavjera","acupuncturist"
"zavjesa","acupuncturists"
"završiti","acurative"
"zbirka","Acus"
"zbog","acusection"
"zbuniti","acusector"
"zdjela","acushla"
"zdravlje","Acushnet"
"zdravo","acustom"
"zec","acutance"
"zeleno","acutances"
"želja","acutangular"
"željeti","acutate"
"zemlja","acute"
"zemljište","acute-angled"
"zemljotres","acutely"
"zena","acutenaculum"
"žensko","acuteness"
"zgodan","acutenesses"
"zgrabi","acuter"
"zgrada","acutes"
"žica","acutest"
"zid","acuti-"
"zima","acutiator"
"živ","acutifoliate"
"živi","Acutilinguae"
"život","acutilingual"
"životinja","acutilobate"
"životopis","acutiplantar"
"zlatni","acutish"
"zlato","acuto-"
"zlo","acutograve"
"zlostavljanje","acutonodose"
"zmaj","acutorsion"
"zmija","ACV"
"značaj","ACW"
"značajan","ACWA"
"značajno","Acworth"
"značenje","ACWP"
"znači","acxoyatl"
"znam","ad"
"znanje","ad-"
"znoj","ADA"
"zona","Adabel"
"zora","Adabelle"
"zračenje","Adachi"
"zrak","adactyl"
"zraka","adactylia"
"zrno","adactylism"
"žrtva","adactylous"
"žrtvovati","Adad"
"zub","adage"
"žurba","adages"
"žuta","adagy"
"žvakati","adagial"
"zvanično","adagietto"
"zvijer","adagiettos"
"zvijezda","adagio"
"zvono","adagios"
"zvučnik","adagissimo"
"zvuk","Adah"
