"Estonian","English"
"vaevalt","actinium"
"vaevu","actiniums"
"väga","actino-"
"vägistamine","actinobaccilli"
"vägivalda","actinobacilli"
"vägivaldne","actinobacillosis"
"vagun","actinobacillotic"
"vahe","Actinobacillus"
"vähe","actinoblast"
"vahekäiku","actinobranch"
"vahel","actinobranchia"
"vähem","actinocarp"
"vahemaa","actinocarpic"
"vähemalt","actinocarpous"
"vähemus","actinochemical"
"vähendada","actinochemistry"
"vähendamine","actinocrinid"
"vähenema","Actinocrinidae"
"vahepeal","actinocrinite"
"vahetada","Actinocrinus"
"vahetu","actinocutitis"
"vahetus","actinodermatitis"
"vähk","actinodielectric"
"VAHTIMA","actinodrome"
"vahustama","actinodromous"
"väide","actinoelectric"
"väidetavalt","actinoelectrically"
"vaidlema","actinoelectricity"
"vaidlus","actinogonidiate"
"vaielda","actinogram"
"väike","actinograph"
"vaikimisi","actinography"
"vaikne","actinographic"
"vaikselt","actinoid"
"vaikus","Actinoida"
"vaim","Actinoidea"
"vaimne","actinoids"
"vaimselt","actinolite"
"vaip","actinolitic"
"väita","actinology"
"vaja","actinologous"
"vajadus","actinologue"
"vajalik","actinomere"
"vajutage","actinomeric"
"vaktsiin","actinometer"
"vala","actinometers"
"valatud","actinometry"
"valdav","actinometric"
"valdkond","actinometrical"
"valdkonnas","actinometricy"
"vale","Actinomyces"
"Vale","actinomycese"
"valem","actinomycesous"
"valetaja","actinomycestal"
"valetama","Actinomycetaceae"
"valge","actinomycetal"
"valgus","Actinomycetales"
"vali","actinomycete"
"valija","actinomycetous"
"valik","actinomycin"
"valima","actinomycoma"
"välimine","actinomycosis"
"valimised","actinomycosistic"
"valimiste","actinomycotic"
"välimus","Actinomyxidia"
"välised","Actinomyxidiida"
"välismaa","actinomorphy"
"välismaal","actinomorphic"
"välistada","actinomorphous"
"valitseda","actinon"
"valitsus","Actinonema"
"valitud","actinoneuritis"
"välja","actinons"
"väljaanne","actinophone"
"väljakutse","actinophonic"
"väljalaskeava","actinophore"
"väljapaistev","actinophorous"
"väljas","actinophryan"
"väljaspool","Actinophrys"
"väljavaade","actinopod"
"väljavõte","Actinopoda"
"väljendada","actinopraxis"
"väljendus","actinopteran"
"väljuda","Actinopteri"
"valjult","actinopterygian"
"väljund","Actinopterygii"
"valk","actinopterygious"
"välk","actinopterous"
"välklamp","actinoscopy"
"vallaline","actinosoma"
"vallutama","actinosome"
"valmis","Actinosphaerium"
"valmisolekut","actinost"
"vältima","actinostereoscopy"
"vältimatu","actinostomal"
"valu","actinostome"
"valusad","actinotherapeutic"
"valuuta","actinotherapeutics"
"valvur","actinotherapy"
"vampiir","actinotoxemia"
"vana","actinotrichium"
"vanaema","actinotrocha"
"vanaisa","actinouranium"
"vandekohtunik","Actinozoa"
"vandenõu","actinozoal"
"vanem","actinozoan"
"vanemlik","actinozoon"
"vang","actins"
"vanglas","actinula"
"vann","actinulae"
"vannituba","action"
"vannun","actionability"
"vanurid","actionable"
"vanus","actionably"
"vapustav","actional"
"vara","actionary"
"varandus","actioner"
"varas","actiones"
"varastada","actionist"
"värav","actionize"
"värbama","actionized"
"varem","actionizing"
"vargus","actionless"
"vari","actions"
"variatsioon","action's"
"varieeruda","action-taking"
"varju","actious"
"varras","Actipylea"
"varre","Actis"
"varrukas","Actium"
"värske","activable"
"värskendada","activate"
"varsti","activated"
"varu","activates"
"varukoopia","activating"
"varustama","activation"
"varustus","activations"
"varvas","activator"
"värvi","activators"
"värvida","activator's"
"vasakule","active"
"väsinud","active-bodied"
"vastaja","actively"
"vastama","active-limbed"
"vastane","active-minded"
"vastastikune","activeness"
"vastata","actives"
"vastavalt","activin"
"vastavust","activism"
"vaste","activisms"
"vastik","activist"
"vastu","activistic"
"vastulause","activists"
"vastumeelne","activist's"
"vastuoluline","activital"
"vastupanu","activity"
"vastupidine","activities"
"vastuseks","activity's"
"vastutav","activize"
"vastutus","activized"
"vastutust","activizing"
"vastuvõetav","actless"
"vastuvõtja","actomyosin"
"vastuvõtmine","Acton"
"vastuvõtt","Actor"
"vau","actory"
"vedaja","Actoridae"
"vedama","actorish"
"vedelik","actor-manager"
"veebisait","actor-proof"
"veebruar","actors"
"veel","actor's"
"veenda","actorship"
"veendumus","actos"
"veendunud","ACTPU"
"veenma","actress"
"veerand","actresses"
"veeremine","actressy"
"veerg","actress's"
"veider","ACTS"
"veidi","ACTU"
"veidrik","actual"
"veini","actualisation"
"veised","actualise"
"veiseliha","actualised"
"vend","actualising"
"venitada","actualism"
"veoauto","actualist"
"veranda","actualistic"
"verbaalne","actuality"
"veri","actualities"
"verine","actualization"
"veritsema","actualizations"
"versioon","actualize"
"versus","actualized"
"vesi","actualizes"
"vestlus","actualizing"
"veteran","actually"
"vibu","actualness"
"video","actuals"
"viga","actuary"
"vigastada","actuarial"
"vigastus","actuarially"
"viha","actuarian"
"vihane","actuaries"
"vihjata","actuaryship"
"vihje","actuate"
"vihkama","actuated"
"vihkamine","actuates"
"vihma","actuating"
"viidata","actuation"
"viide","actuator"
"viies","actuators"
"viil","actuator's"
"viimane","actuose"
"viip","ACTUP"
"viirus","acture"
"viis","acturience"
"viisakus","actus"
"viisil","actutate"
"viiskümmend","act-wait"
"viisteist","ACU"
"viitsima","acuaesthesia"
"viivitus","Acuan"
"vinge","acuate"
"virna","acuating"
"virtuaalne","acuation"
"virtuaalselt","Acubens"
"viskama","acuchi"
"visuaalne","acuclosure"
"vitamiin","acuductor"
"või","acuerdo"
"võib","acuerdos"
"võid","acuesthesia"
"võidelda","acuity"
"võiks","acuities"
"võileib","aculea"
"võimalik","aculeae"
"võimalus","Aculeata"
"võimas","aculeate"
"võimatu","aculeated"
"võime","aculei"
"võimekust","aculeiform"
"võimeline","aculeolate"
"võimsus","aculeolus"
"võistlema","aculeus"
"võistlus","acumble"
"võit","acumen"
"võita","acumens"
"võitja","acuminate"
"võitleja","acuminated"
"võitlema","acuminating"
"võitlevad","acumination"
"võitlus","acuminose"
"vokaal","acuminous"
"võlakiri","acuminulate"
"võlg","acupress"
"võlgu","acupressure"
"volikogu","acupunctuate"
"volinik","acupunctuation"
"volitada","acupuncturation"
"voltida","acupuncturator"
"võlts","acupuncture"
"võlu","acupunctured"
"vöö","acupunctures"
"voodi","acupuncturing"
"voolu","acupuncturist"
"vooluring","acupuncturists"
"võõras","acurative"
"voorus","Acus"
"võrdlema","acusection"
"võrdlus","acusector"
"võrdne","acushla"
"võrdselt","Acushnet"
"võrdsus","acustom"
"võre","acutance"
"võrgus","acutances"
"võrk","acutangular"
"võrku","acutate"
"vormi","acute"
"vormingus","acute-angled"
"võrrand","acutely"
"võta","acutenaculum"
"võti","acuteness"
"vs","acutenesses"
"WHO","acuter"
"žanr","acutes"
"žest","acutest"
"žürii","acuti-"
