"Basque","English"
"zatikia","acrotic"
"zatitu","acrotism"
"zaurgarria","acrotisms"
"zauria","acrotomous"
"zauritu","Acrotreta"
"zazpi","Acrotretidae"
"zazpigarrena","acrotrophic"
"zehar","acrotrophoneurosis"
"zehatza","Acrux"
"zehazki","ACRV"
"zehaztasuna","ACS"
"zehaztasunez","ACSE"
"zehaztu","ACSNET"
"zeina","ACSU"
"Zeinen","ACT"
"zelaia","Acta"
"zelula","actability"
"zenbakia","actable"
"zenbatekoa","Actaea"
"zenbatu","Actaeaceae"
"zentimo","Actaeon"
"zentrala","Actaeonidae"
"zentroa","acted"
"zentzua","actg"
"zentzugabekeria","actg."
"zer","ACTH"
"zerbait","Actiad"
"zerbitzaria","Actian"
"zerbitzatu","actify"
"zerbitzua","actification"
"zeregina","actifier"
"zeremonia","actin"
"zerga","actin-"
"zergadun","actinal"
"zergatik","actinally"
"zero","actinautography"
"zerrenda","actinautographic"
"zertxobait","actine"
"zerua","actinenchyma"
"zeta","acting"
"zezena","acting-out"
"zibila","actings"
"zibilizazioa","Actinia"
"zientifikoak","actiniae"
"zientzia","actinian"
"zientzialaria","actinians"
"zigarroa","Actiniaria"
"zigilua","actiniarian"
"zigorra","actinias"
"zigortu","actinic"
"zikina","actinical"
"zikinkeria","actinically"
"zikloa","actinide"
"zilarra","actinides"
"zinta","Actinidia"
"zintzilikatu","Actinidiaceae"
"zintzoa","actiniferous"
"zintzotasunez","actiniform"
"zirkuitua","actinine"
"zirkulu","actiniochrome"
"zirrara","actiniohematin"
"zirraragarria","Actiniomorpha"
"zirriborroa","actinism"
"zirujaua","actinisms"
"ziur","Actinistia"
"ziurgabetasuna","actinium"
"ziurra","actiniums"
"ziurrenik","actino-"
"ziurtagiria","actinobaccilli"
"ziurtatu","actinobacilli"
"zizelkatu","actinobacillosis"
"ziztada","actinobacillotic"
"zola","Actinobacillus"
"zona","actinoblast"
"zopa","actinobranch"
"zor","actinobranchia"
"zoragarria","actinocarp"
"zoriona","actinocarpic"
"zorionez","actinocarpous"
"zoritxarrez","actinochemical"
"zoro","actinochemistry"
"zorra","actinocrinid"
"zorroa","Actinocrinidae"
"zorrotza","actinocrinite"
"zortea","Actinocrinus"
"zortzi","actinocutitis"
"zortzigarrena","actinodermatitis"
"zozketa","actinodielectric"
"zu","actinodrome"
"zubia","actinodromous"
"zuhaitza","actinoelectric"
"zuhaixka","actinoelectrically"
"zuk","actinoelectricity"
"zukua","actinogonidiate"
"zulagailu","actinogram"
"zulatu","actinograph"
"zuloa","actinography"
"zuntz","actinographic"
"zurbil","actinoid"
"zure","Actinoida"
"zurea","Actinoidea"
"zuria","actinoids"
"zuritu","actinolite"
"zurrumurrua","actinolitic"
"zurrun","actinology"
"zurrupatu","actinologous"
"zurtoina","actinologue"
"zutabea","actinomere"
"zutabegilea","actinomeric"
"zutik","actinometer"
"zutoina","actinometers"
"zuzen","actinometry"
"zuzena","actinometric"
"zuzendaria","actinometrical"
"zuzenean","actinometricy"
"zuzenketa","Actinomyces"
