"Vietnamese","English"
"quyển","acustom"
"quyện","acutance"
"quyết","acutances"
"quyệt","acutangular"
"quỳnh","acutate"
"quỷnh","acute"
"quýt","acute-angled"
"quỵt","acutely"
"ra","acutenaculum"
"ra-đa","acuteness"
"ra-đi","acutenesses"
"ra-đi-an","acuter"
"ra-đi-ô","acutes"
"rà","acutest"
"rã","acuti-"
"rá","acutiator"
"rạ","acutifoliate"
"rác","Acutilinguae"
"rạc","acutilingual"
"rách","acutilobate"
"rạch","acutiplantar"
"rải","acutish"
"rái","acuto-"
"ram","acutograve"
"rám","acutonodose"
"ran","acutorsion"
"ràn","ACV"
"rán","ACW"
"rạn","ACWA"
"rang","Acworth"
"ràng","ACWP"
"ráng","acxoyatl"
"rạng","ad"
"ranh","ad-"
"rành","ADA"
"rảnh","Adabel"
"rãnh","Adabelle"
"rao","Adachi"
"rào","adactyl"
"rảo","adactylia"
"rão","adactylism"
"ráo","adactylous"
"rạo","Adad"
"ráp","adage"
"rạp","adages"
"rát","adagy"
"rau","adagial"
"ray","adagietto"
"rày","adagiettos"
"rảy","adagio"
"rãy","adagios"
"ráy","adagissimo"
"rắc","Adah"
"rằm","Adaha"
"rắm","Adai"
"răn","Aday"
"rằn","A-day"
"răng","Adaiha"
"rằng","Adair"
"rặng","Adairsville"
"rặt","Adairville"
"râm","adays"
"rầm","Adaize"
"rấm","Adal"
"rậm","Adala"
"rân","Adalai"
"rấn","Adalard"
"rận","adalat"
"rấp","Adalbert"
"rập","Adalheid"
"rất","Adali"
"râu","Adalia"
"rầu","Adaliah"
"rây","adalid"
"rầy","Adalie"
"rẩy","Adaline"
"rẫy","Adall"
"rè","Adallard"
"rẻ","Adam"
"rẽ","Adama"
"ré","adamance"
"rèm","adamances"
"ren","adamancy"
"rèn","adamancies"
"rén","Adam-and-Eve"
"reo","adamant"
"rẻo","adamantean"
"réo","adamantine"
"rét","adamantinoma"
"rẹt","adamantly"
"rê","adamantlies"
"rể","adamantness"
"rễ","adamantoblast"
"rế","adamantoblastoma"
"rệ","adamantoid"
"rếch","adamantoma"
"rên","adamants"
"rệp","Adamas"
"rêu","Adamastor"
"rệu","Adamawa"
"ri","Adamawa-Eastern"
"ri-vê","adambulacral"
"rì","Adamec"
"rỉ","Adamek"
"rí","adamellite"
"ria","Adamello"
"rìa","Adamhood"
"rỉa","Adamic"
"rích","Adamical"
"riềm","Adamically"
"riêng","Adamik"
"riềng","Adamina"
"riết","Adaminah"
"riệt","adamine"
"riêu","Adamis"
"rim","Adamite"
"rịn","Adamitic"
"rinh","Adamitical"
"rình","Adamitism"
"rít","Adamo"
"rịt","Adamok"
"riu","Adams"
"rìu","Adamsbasin"
"ríu","Adamsburg"
"rò","Adamsen"
"rỏ","Adamsia"
"rõ","adamsite"
"ró","adamsites"
"rọ","Adamski"
"róc","Adam's-needle"
"rọc","Adamson"
"roi","Adamstown"
"rõi","Adamsun"
"rói","Adamsville"
"rọi","Adan"
"rom","Adana"
"ròm","adance"
"róm","a-dance"
"rỏn","adangle"
"rón","a-dangle"
"rong","Adansonia"
"ròng","Adao"
"rót","Adapa"
"rô","adapid"
"rô-nê-ô","Adapis"
"rồ","adapt"
"rổ","adaptability"
"rỗ","adaptabilities"
"rộ","adaptable"
"rốc","adaptableness"
"rộc","adaptably"
"rồi","adaptation"
"rổi","adaptational"
"rỗi","adaptationally"
"rối","adaptations"
"rôm","adaptation's"
"rộm","adaptative"
"rốn","adapted"
"rộn","adaptedness"
"rông","adapter"
"rồng","adapters"
"rỗng","adapting"
"rống","adaption"
"rộng","adaptional"
"rốp","adaptionism"
"rộp","adaptions"
"rốt","adaptitude"
"rơ","adaptive"
"rờ","adaptively"
"rở","adaptiveness"
"rợ","adaptivity"
"rơi","adaptometer"
"rời","adaptor"
"rợi","adaptorial"
"rơm","adaptors"
"rởm","adapts"
"rớm","Adar"
"rợm","Adara"
"rơn","adarbitrium"
"rờn","adarme"
"rởn","adarticulation"
"rợn","adat"
"rợp","adati"
"rớt","adaty"
"rợt","adatis"
"ru","adatom"
"rù","adaunt"
"rủ","Adaurd"
"rũ","adaw"
"rú","adawe"
"rua","adawlut"
"rùa","adawn"
"rủa","adaxial"
"rũa","adazzle"
"rúc","ADB"
"rục","ADC"
"rủi","ADCCP"
"rụi","ADCI"
"rum","adcon"
"rùm","adcons"
"rúm","adcraft"
"run","ADD"
"rùn","add."
"rủn","Adda"
"rung","addability"
"rùng","addable"
"rụng","add-add"
"ruốc","Addam"
"ruồi","Addams"
"ruổi","addax"
"ruối","addaxes"
"ruộm","ADDCP"
"ruỗng","addda"
"ruộng","addebted"
"ruột","added"
"rúp","addedly"
"rút","addeem"
"rụt","addend"
"rư","addenda"
"rửa","addends"
"rữa","addendum"
"rứa","addendums"
"rựa","adder"
"rực","adderbolt"
"rừng","adderfish"
"rước","adders"
"rươi","adder's-grass"
"rưởi","adder's-meat"
"rưỡi","adder's-mouth"
"rưới","adder's-mouths"
"rượi","adderspit"
"rườm","adders-tongue"
"rướm","adder's-tongue"
"rướn","adderwort"
"rượn","Addi"
"rương","Addy"
"rường","Addia"
"rượt","addibility"
"rượu","addible"
"rứt","addice"
"sa","addicent"
"sà","addict"
"sả","addicted"
"sá","addictedness"
"sạ","addicting"
"sách","addiction"
"sạch","addictions"
"sai","addiction's"
"sài","addictive"
"sải","addictively"
"sãi","addictiveness"
"sái","addictives"
"sam","addicts"
"sạm","Addie"
"san","Addiego"
"sàn","Addiel"
"sản","Addieville"
"sán","addiment"
"sạn","adding"
"sang","Addington"
"sàng","addio"
"sảng","Addis"
"sáng","Addison"
"sanh","Addisonian"
"sành","Addisoniana"
"sảnh","Addyston"
"sánh","addita"
"sao","additament"
"sào","additamentary"
"sảo","additiment"
"sáo","addition"
"sạo","additional"
"sáp","additionally"
"sạp","additionary"
"sát","additionist"
"sạt","additions"
"sau","addition's"
"sáu","addititious"
"say","additive"
"sảy","additively"
"sắc","additives"
"sặc","additive's"
"săm","additivity"
"sắm","additory"
"sặm","additum"
"săn","additur"
"sẵn","addle"
"sắn","addlebrain"
"săng","addlebrained"
"sắng","addled"
"sắp","addlehead"
"sắt","addleheaded"
"sặt","addleheadedly"
"sâm","addleheadedness"
"sâm-banh","addlement"
"sầm","addleness"
"sẩm","addlepate"
"sẫm","addlepated"
"sấm","addlepatedness"
"sậm","addleplot"
"sân","addles"
"sần","addling"
"sẩn","addlings"
"sấn","addlins"
"sấp","addn"
"sập","addnl"
"sất","addoom"
"sật","addorsed"
"sâu","addossed"
"sầu","addr"
"sấu","address"
"sầy","addressability"
"sẩy","addressable"
"sấy","addressed"
"sậy","addressee"
"se","addressees"
"sè","addressee's"
"sẻ","addresser"
"sẽ","addressers"
"sẹ","addresses"
"séc","addressful"
"sém","addressing"
"sen","Addressograph"
"sen","addressor"
"sẻn","addrest"
"seo","adds"
"sẹo","Addu"
"sét","adduce"
"sề","adduceable"
"sể","adduced"
"sễ","adducent"
"sệ","adducer"
"sên","adducers"
"sến","adduces"
"sênh","adducible"
"sểnh","adducing"
"sếp","adduct"
"sệt","adducted"
"sêu","adducting"
"sếu","adduction"
"si","adductive"
"sì","adductor"
"sỉ","adductors"
"sĩ","adducts"
"sị","addulce"
"sỉa","ade"
"sịa","adead"
"sịch","a-dead"
"siễn","Adebayo"
"siêng","Adee"
"siểng","adeem"
"siết","adeemed"
"siêu","adeeming"
"sim","adeems"
"sin","adeep"
"sinh","a-deep"
"sình","Adey"
"sỉnh","Adel"
"sính","Adela"
"sít","Adelaida"
"sịt","Adelaide"
"siu","Adelaja"
"so","adelantado"
"sò","adelantados"
"sỏ","adelante"
"sọ","Adelanto"
"soạn","Adelarthra"
"soát","Adelarthrosomata"
"soạt","adelarthrosomatous"
"sóc","adelaster"
"sọc","Adelbert"
"soi","Adele"
"sòi","Adelea"
"sỏi","Adeleidae"
"sõi","Adelges"
"sói","Adelheid"
"sọm","Adelia"
"son","Adelice"
"són","Adelina"
"song","Adelind"
"sòng","Adeline"
"sõng","adeling"
"sóng","adelite"
"sóoc","Adeliza"
"soong","Adell"
"sót","Adella"
"sọt","Adelle"
"sô","adelocerous"
"sô-cô-la","Adelochorda"
"sô-vanh","adelocodonic"
"sồ","adelomorphic"
"sổ","adelomorphous"
"sỗ","adelopod"
"số","Adelops"
"sốc","Adelphe"
"sôi","Adelphi"
"sồi","adelphia"
"sổi","Adelphian"
"sông","adelphic"
"sồng","Adelpho"
"sổng","adelphogamy"
"sống","Adelphoi"
"sốp-phơ","adelpholite"
"sộp","adelphophagy"
"sốt","adelphous"
"sơ","Adelric"
"sờ","ademonist"
"sở","adempt"
"sớ","adempted"
"sợ","ademption"
"sởi","Aden"
"sới","aden-"
"sợi","Adena"
"sớm","adenalgy"
"sơn","adenalgia"
"sờn","Adenanthera"
"sởn","adenase"
"sớt","adenasthenia"
"su","Adenauer"
"su-lơ","adendric"
"su-su","adendritic"
"sù","adenectomy"
"sú","adenectomies"
"sụ","adenectopia"
"sủa","adenectopic"
"suất","adenemphractic"
"súc","adenemphraxis"
"sục","adenia"
"sui","adeniform"
"sùi","adenyl"
"sủi","adenylic"
"sụm","adenylpyrophosphate"
"sun","adenyls"
"sún","adenin"
"sụn","adenine"
"sung","adenines"
"sùng","adenitis"
"sũng","adenitises"
"súng","adenization"
"suối","adeno-"
"suôn","adenoacanthoma"
"suông","adenoblast"
"suốt","adenocancroid"
"súp-de","adenocarcinoma"
"sụp","adenocarcinomas"
"sút","adenocarcinomata"
"sụt","adenocarcinomatous"
"suy","adenocele"
"súy","adenocellulitis"
"suyễn","adenochondroma"
"suýt","adenochondrosarcoma"
"suỵt","adenochrome"
"sư","adenocyst"
"sử","adenocystoma"
"sứ","adenocystomatous"
"sự","adenodermia"
"sưa","adenodiastasis"
"sửa","adenodynia"
"sữa","adenofibroma"
"sứa","adenofibrosis"
"sức","adenogenesis"
"sực","adenogenous"
"sưng","adenographer"
"sừng","adenography"
"sửng","adenographic"
"sững","adenographical"
"sựng","adenohypersthenia"
"sưởi","adenohypophyseal"
"sườn","adenohypophysial"
"sương","adenohypophysis"
"sướng","adenoid"
"sượng","adenoidal"
"sướt","adenoidectomy"
"sượt","adenoidectomies"
"sứt","adenoidism"
"sựt","adenoiditis"
"sưu","adenoids"
"sửu","adenolymphocele"
"ta","adenolymphoma"
"ta-lư","adenoliomyofibroma"
"ta-nin","adenolipoma"
"ta-tăng","adenolipomatosis"
"ta-tu","adenologaditis"
"tà","adenology"
"tả","adenological"
"tã","adenoma"
"tá","adenomalacia"
"tạ","adenomas"
"tác","adenomata"
"tạc","adenomatome"
"tách","adenomatous"
"tạch","adenomeningeal"
"tai","adenometritis"
"tai-ga","adenomycosis"
"tài","adenomyofibroma"
"tải","adenomyoma"
"tãi","adenomyxoma"
"tái","adenomyxosarcoma"
"tại","adenoncus"
"tam","adenoneural"
"tám","adenoneure"
"tạm","adenopathy"
"tan","adenopharyngeal"
"tán","adenopharyngitis"
"tang","adenophyllous"
"tảng","adenophyma"
"tạng","adenophlegmon"
"tanh","Adenophora"
"tánh","adenophore"
"tạnh","adenophoreus"
"tao","adenophorous"
"tảo","adenophthalmia"
"táo","adenopodous"
"tạo","adenosarcoma"
"táp","adenosarcomas"
"tạp","adenosarcomata"
"tát","adenosclerosis"
"tạt","adenose"
"tàu","adenoses"
"tay","adenosine"
"tày","adenosis"
"tắc","adenostemonous"
"tăm","Adenostoma"
"tằm","adenotyphoid"
"tắm","adenotyphus"
"tăng","adenotome"
"tằng","adenotomy"
"tặng","adenotomic"
"tắp","adenous"
"tắt","adenoviral"
"tấc","adenovirus"
"tâm","adenoviruses"
"tầm","Adeodatus"
"tẩm","Adeona"
"tấm","Adephaga"
"tân","adephagan"
"tần","adephagia"
"tẩn","adephagous"
"tấn","adeps"
"tận","adept"
"tâng","adepter"
"tầng","adeptest"
"tấp","adeption"
"tập","adeptly"
"tất","adeptness"
"tật","adeptnesses"
"tâu","adepts"
"tẩu","adeptship"
"tấu","adequacy"
"tậu","adequacies"
"tây","adequate"
"tầy","adequately"
"tẩy","adequateness"
"tấy","adequation"
"te","adequative"
"tè","Ader"
"tẻ","adermia"
"tẽ","adermin"
"té","adermine"
"téc-gan","adesmy"
"tem","adespota"
"tém","adespoton"
"ten","Adessenarian"
"ten-nít","adessive"
"tẽn","Adest"
"teo","adeste"
"tẻo","adet"
"tẹo","adeuism"
"tép","adevism"
"tét","ADEW"
"tẹt","ADF"
"tê","adfected"
"tê-lê-típ","adffroze"
"tê-lếch","adffrozen"
"tề","adfiliate"
"tễ","adfix"
"tế","adfluxion"
"tệ","adfreeze"
"tếch","adfreezing"
"têm","ADFRF"
"tên","adfroze"
"tênh","adfrozen"
"tệp","Adger"
"têt","adglutinate"
"tết","Adhafera"
"tếu","adhaka"
"tha","Adham"
"thà","adhamant"
"thả","Adhamh"
"thá","Adhara"
"thác","adharma"
"thách","adherant"
"thạch","adhere"
"thai","adhered"
"thải","adherence"
"thái","adherences"
"tham","adherency"
"thàm","adherend"
"thảm","adherends"
"thám","adherent"
"than","adherently"
"thang","adherents"
"tháng","adherent's"
"thanh","adherer"
"thành","adherers"
"thánh","adheres"
"thạnh","adherescence"
"thao","adherescent"
"thào","adhering"
"thảo","Adhern"
"tháo","adhesion"
"thạo","adhesional"
"tháp","adhesions"
"thạp","adhesive"
"thau","adhesively"
"tháu","adhesivemeter"
"thay","adhesiveness"
"thảy","adhesives"
"thăm","adhesive's"
"thẳm","adhibit"
"thắm","adhibited"
"thăn","adhibiting"
"thăng","adhibition"
"thằng","adhibits"
"thẳng","adhocracy"
"thắng","adhort"
"thặng","ADI"
"thắp","ady"
"thắt","adiabat"
"thâm","adiabatic"
"thầm","adiabatically"
"thẩm","adiabolist"
"thẫm","adiactinic"
"thấm","adiadochokinesia"
"thậm","adiadochokinesis"
"thân","adiadokokinesi"
"thần","adiadokokinesia"
"thận","adiagnostic"
"thấp","adiamorphic"
"thất","adiamorphism"
"thật","Adiana"
"thâu","adiantiform"
"thầu","Adiantum"
"thẩu","adiaphanous"
"thấu","adiaphanousness"
"thây","adiaphon"
"thầy","adiaphonon"
"thấy","adiaphora"
"the","adiaphoral"
"thè","adiaphoresis"
"thẻ","adiaphoretic"
"thé","adiaphory"
"thèm","adiaphorism"
"then","adiaphorist"
"thẹn","adiaphoristic"
"theo","adiaphorite"
"thẻo","adiaphoron"
"thẹo","adiaphorous"
"thép","adiapneustia"
"thẹp","adiate"
"thét","adiated"
"thê","adiathermal"
"thề","adiathermancy"
"thể","adiathermanous"
"thế","adiathermic"
"thếch","adiathetic"
"thêm","adiating"
"thềm","adiation"
"thếp","Adib"
"thết","adibasi"
"thêu","Adi-buddha"
"thi","Adicea"
"thì","adicity"
"thí","Adie"
"thị","Adiel"
"thia","Adiell"
"thìa","adience"
"thích","adient"
"thịch","adieu"
"thiếc","adieus"
"thiềm","adieux"
"thiên","Adige"
"thiền","Adyge"
"thiển","Adigei"
"thiến","Adygei"
"thiện","Adighe"
"thiêng","Adyghe"
"thiếp","adight"
"thiệp","Adigranth"
"thiết","Adigun"
"thiệt","Adila"
"thiêu","Adim"
"thiếu","Adin"
"thím","Adina"
"thìn","adynamy"
"thinh","adynamia"
"thình","adynamias"
"thỉnh","adynamic"
"thính","Adine"
"thịnh","Adinida"
"thíp","adinidan"
"thít","adinole"
"thịt","adinvention"
"thiu","adion"
"thìu","adios"
"thỉu","adipate"
"tho","adipescent"
"thò","adiphenine"
"thỏ","adipic"
"thó","adipyl"
"thọ","adipinic"
"thoa","adipocele"
"thòa","adipocellulose"
"thoả","adipocere"
"thoải","adipoceriform"
"thoái","adipocerite"
"thoàn","adipocerous"
"thoảng","adipocyte"
"thoáng","adipofibroma"
"thoát","adipogenic"
"thoạt","adipogenous"
"thoắng","adipoid"
"thoắt","adipolysis"
"thóc","adipolytic"
"thọc","adipoma"
"thoi","adipomata"
"thòi","adipomatous"
"thỏi","adipometer"
"thói","adiponitrile"
"thòm","adipopectic"
"thỏm","adipopexia"
"thon","adipopexic"
"thòng","adipopexis"
"thõng","adipose"
"thóp","adiposeness"
"thót","adiposes"
"thọt","adiposis"
"thô","adiposity"
"thồ","adiposities"
"thổ","adiposogenital"
"thố","adiposuria"
"thốc","adipous"
"thộc","adipsy"
"thôi","adipsia"
"thồi","adipsic"
"thổi","adipsous"
"thối","Adirondack"
"thôn","Adirondacks"
"thồn","Adis"
"thốn","adit"
"thộn","adyta"
"thông","adital"
"thống","Aditya"
"thộp","aditio"
"thốt","adyton"
"thơ","adits"
"thờ","adytta"
"thở","adytum"
"thớ","aditus"
"thợ","Adivasi"
"thơi","ADIZ"
"thời","adj"
"thơm","adj."
"thớt","adjacence"
"thu","adjacency"
"thù","adjacencies"
"thủ","adjacent"
"thú","adjacently"
"thua","adjag"
"thùa","adject"
"thủa","adjection"
"thuần","adjectional"
"thuẫn","adjectitious"
"thuận","adjectival"
"thuật","adjectivally"
"thúc","adjective"
"thục","adjectively"
"thuê","adjectives"
"thuế","adjective's"
"thui","adjectivism"
"thúi","adjectivitis"
"thụi","adjiga"
"thum","adjiger"
"thủm","adjoin"
"thun","adjoinant"
"thung","adjoined"
"thùng","adjoinedly"
"thủng","adjoiner"
"thũng","adjoining"
"thúng","adjoiningness"
"thụng","adjoins"
"thuốc","adjoint"
"thuộc","adjoints"
"thuôn","adjourn"
"thuồn","adjournal"
"thuỗn","adjourned"
"thuốn","adjourning"
"thuổng","adjournment"
"thuở","adjournments"
"thụp","adjourns"
"thút","adjoust"
"thụt","adjt"
"thuỳ","adjt."
"thuỷ","adjudge"
"thuyên","adjudgeable"
"thuyền","adjudged"
"thuyết","adjudger"
"thư","adjudges"
"thừ","adjudging"
"thử","adjudgment"
"thứ","adjudicata"
"thưa","adjudicate"
"thừa","adjudicated"
"thửa","adjudicates"
"thức","adjudicating"
"thực","adjudication"
"thưng","adjudications"
"thừng","adjudication's"
"thước","adjudicative"
"thưỡi","adjudicator"
"thưỡn","adjudicatory"
"thương","adjudicators"
"thường","adjudicature"
"thưởng","adjugate"
"thượng","adjument"
"thượt","adjunct"
"ti","adjunction"
"ti-cô","adjunctive"
"ti-pô","adjunctively"
"ti-vi","adjunctly"
"tì","adjuncts"
"tỉ","adjunct's"
"tĩ","Adjuntas"
"tí","adjuration"
"tị","adjurations"
"tia","adjuratory"
"tỉa","adjure"
"tía","adjured"
"tích","adjurer"
"tích-tắc","adjurers"
"tịch","adjures"
"tiếc","adjuring"
"tiệc","adjuror"
"tiêm","adjurors"
"tiếm","adjust"
"tiệm","adjustability"
"tiên","adjustable"
"tiền","adjustable-pitch"
"tiễn","adjustably"
"tiến","adjustage"
"tiện","adjustation"
"tiếng","adjusted"
"tiếp","adjuster"
"tiết","adjusters"
"tiệt","adjusting"
"tiêu","adjustive"
"tiều","adjustment"
"tiểu","adjustmental"
"tiễu","adjustments"
"tim","adjustment's"
"tìm","adjustor"
"tím","adjustores"
"tin","adjustoring"
"tín","adjustors"
"tinh","adjustor's"
"tình","adjusts"
"tỉnh","adjutage"
"tĩnh","adjutancy"
"tính","adjutancies"
"tịnh","adjutant"
"típ","adjutant-general"
"tít","adjutants"
"tịt","adjutantship"
"tiu","adjutator"
"tíu","adjute"
"to","adjutor"
"to-nô","adjutory"
"tò-he","adjutorious"
"tỏ","adjutrice"
"tó","adjutrix"
"toa","adjuvant"
"toạc","adjuvants"
"toại","adjuvate"
"toan","Adkins"
"toàn","Adlai"
"toán","Adlay"
"toang","Adlar"
"toáng","Adlare"
"toát","Adlee"
"tóc","adlegation"
"toe","adlegiare"
"tòe","Adlei"
"tỏe","Adley"
"toẽ","Adler"
"toé","Adlerian"
"toét","adless"
"toẹt","adlet"
"toi","ad-lib"
"tòi","ad-libbed"
"tỏi","ad-libber"
"tom","ad-libbing"
"tòm","Adlumia"
"tõm","adlumidin"
"tóm","adlumidine"
"ton-nô","adlumin"
"tong","adlumine"
"tòng","ADM"
"tỏng","Adm."
"tọng","Admah"
"tóp","adman"
"tọp","admarginate"
"tót","admass"
"tọt","admaxillary"
"tô","ADMD"
"tô-pô-học","admeasure"
"tô-tem","admeasured"
"tồ","admeasurement"
"tổ","admeasurer"
"tố","admeasuring"
"tộ","admedial"
"tốc","admedian"
"tộc","admen"
"tôi","admensuration"
"tồi","admerveylle"
"tối","Admete"
"tội","Admetus"
"tôm","admi"
"tôn","admin"
"tồn","adminicle"
"tổn","adminicula"
"tốn","adminicular"
"tông","adminiculary"
"tông-đơ","adminiculate"
"tổng","adminiculation"
"tống","adminiculum"
"tốp","administer"
"tốt","administerd"
"tột","administered"
"tơ","administerial"
"tờ","administering"
"tớ","administerings"
"tợ","administers"
"tơi","administrable"
"tới","administrant"
"tớn","administrants"
"tợn","administrate"
"tớp","administrated"
"tợp","administrates"
"tớt","administrating"
"tra","administration"
"trà","administrational"
"trả","administrationist"
"trã","administrations"
"trá","administration's"
"trạc","administrative"
"trách","administratively"
"trai","administrator"
"trài","administrators"
"trải","administrator's"
"trãi","administratorship"
"trái","administratress"
"trại","administratrices"
"tram","administratrix"
"tràm","adminstration"
"trảm","adminstrations"
"trám","admirability"
"trạm","admirable"
"tran","admirableness"
"tràn","admirably"
"trán","Admiral"
"trang","admirals"
"tràng","admiral's"
"trảng","admiralship"
"tráng","admiralships"
"trạng","admiralty"
"tranh","Admiralties"
"tránh","admirance"
"trao","admiration"
"trào","admirations"
"tráo","admirative"
"tráp","admiratively"
"trát","admirator"
"trau","admire"
"tràu","admired"
"trảu","admiredly"
"trảy","admirer"
"trạy","admirers"
"trắc","admires"
"trặc","admiring"
"trăm","admiringly"
"trắm","admissability"
"trăn","admissable"
"trằn","admissibility"
"trăng","admissibilities"
"trắng","admissible"
"trâm","admissibleness"
"trầm","admissibly"
"trẫm","admission"
"trân","admissions"
"trần","admission's"
"trẩn","admissive"
"trấn","admissively"
"trận","admissory"
"trập","admit"
"trật","admits"
"trâu","admittable"
"trầu","admittance"
"trẩu","admittances"
"trấu","admittatur"
"trây","admitted"
"trầy","admittedly"
"trẩy","admittee"
"tre","admitter"
"trè","admitters"
"trẻ","admitty"
"trẽ","admittible"
"trèm","admitting"
"trém","admix"
"trẽn","admixed"
"treo","admixes"
"trèo","admixing"
"tréo","admixt"
"trẹo","admixtion"
"trét","admixture"
"trẹt","admixtures"
"trê","admonish"
"trề","admonished"
"trễ","admonisher"
"trệ","admonishes"
"trệch","admonishing"
"trên","admonishingly"
"trết","admonishment"
"trệt","admonishments"
"trêu","admonishment's"
"trệu","admonition"
"trì","admonitioner"
"trĩ","admonitionist"
"trí","admonitions"
"trị","admonition's"
"trỉa","admonitive"
"trích","admonitively"
"trịch","admonitor"
"triền","admonitory"
"triến","admonitorial"
"triện","admonitorily"
"triêng","admonitrix"
"triềng","admortization"
"triệng","admov"
"triết","admove"
"triệt","admrx"
"triều","ADN"
"triệu","Adna"
"trinh","Adnah"
"trình","Adnan"
"trít","adnascence"
"trịt","adnascent"
"trĩu","adnate"
"tro","adnation"
"trò","adnations"
"trỏ","Adne"
"trọ","adnephrine"
"tróc","adnerval"
"trọc","adnescent"
"troi","adneural"
"tròi","adnex"
"trỏi","adnexa"
"trói","adnexal"
"trọi","adnexed"
"trõm","adnexitis"
"tron","adnexopexy"
"tròn","adnominal"
"trọn","adnominally"
"trong","adnomination"
"tròng","Adnopoz"
"trỏng","adnoun"
"tróng","adnouns"
"trọng","adnumber"
"trót","ado"
"trổ","adobe"
"trỗ","adobes"
"trố","adobo"
"trộ","adobos"
"trốc","adod"
"trôi","adolesce"
"trồi","adolesced"
"trổi","adolescence"
"trối","adolescences"
"trội","adolescency"
"trôm","adolescent"
"trộm","adolescently"
"trôn","adolescents"
"trốn","adolescent's"
"trộn","adolescing"
"trông","Adolf"
"trồng","Adolfo"
"trổng","Adolph"
"trống","Adolphe"
"trơ","Adolpho"
"trở","Adolphus"
"trớ","Adon"
"trợ","Adona"
"trơi","Adonai"
"trời","Adonais"
"trơn","Adonean"
"trờn","Adonia"
"trớn","Adoniad"
"trợn","Adonian"
"trớp","Adonias"
"trớt","Adonic"
"trợt","Adonica"
"tru","adonidin"
"trù","Adonijah"
"trủ","adonin"
"trú","Adoniram"
"trụ","Adonis"
"truất","adonises"
"truật","adonist"
"trúc","adonite"
"trục","adonitol"
"trui","adonize"
"trũi","adonized"
"trụi","adonizing"
"trùm","Adonoy"
"trúm","adoors"
"trụm","a-doors"
"trun","adoperate"
"trùn","adoperation"
"trụn","adopt"
"trung","adoptability"
"trùng","adoptabilities"
"trũng","adoptable"
"trúng","adoptant"
"trụng","adoptative"
"truông","adopted"
"truồng","adoptedly"
"truột","adoptee"
"trụp","adoptees"
"trút","adopter"
"trụt","adopters"
"truy","adoptian"
"truỵ","adoptianism"
"trụy","adoptianist"
"truyền","adopting"
"truyện","adoption"
"trừ","adoptional"
"trữ","adoptionism"
"trự","adoptionist"
"trưa","adoptions"
"trừa","adoption's"
"trực","adoptious"
"trưng","adoptive"
"trừng","adoptively"
"trửng","adopts"
"trứng","ador"
"trước","Adora"
"trườn","adorability"
"trương","adorable"
"trường","adorableness"
"trưởng","adorably"
"trướng","adoral"
"trượng","adorally"
"trượt","adorant"
"tu","Adorantes"
"tù","adoration"
"tủ","adorations"
"tú","adoratory"
"tụ","Adore"
"tuần","adored"
"tuất","Adoree"
"túc","adorer"
"tục","adorers"
"tuế","adores"
"tuệ","Adoretus"
"tuếch","adoring"
"tui","adoringly"
"tủi","Adorl"
"túi","adorn"
"tụi","adornation"
"tũm","Adorne"
"túm","adorned"
"tụm","adorner"
"tung","adorners"
"tùng","adorning"
"túng","adorningly"
"tụng","adornment"
"tuộc","adornments"
"tuổi","adornment's"
"tuôn","adorno"
"tuồn","adornos"
"tuông","adorns"
"tuồng","adorsed"
"tuốt","ados"
"tuột","adosculation"
"túp","adossed"
"tút","adossee"
"tút-xuỵt","Adoula"
"tụt","adoulie"
"tuy","Adowa"
"tuỳ","adown"
"tuyền","Adoxa"
"tuyển","Adoxaceae"
"tuyến","adoxaceous"
"tuyết","adoxy"
"tuyệt","adoxies"
"tuyn","adoxography"
"tư","adoze"
"từ","ADP"
"tử","adp-"
"tứ","adpao"
"tự","ADPCM"
"tưa","adposition"
"tửa","adpress"
"tứa","adpromission"
"tựa","adpromissor"
"tức","adq-"
"từng","adrad"
"tước","adradial"
"tươi","adradially"
"tưới","adradius"
"tươm","Adramelech"
"tướn","Adrammelech"
"tương","Adrastea"
"tường","Adrastos"
"tưởng","Adrastus"
"tướng","Adrea"
"tượng","adread"
"tướp","adream"
"tướt","adreamed"
"tượt","adreamt"
"tửu","adrectal"
"u","Adrell"
"u","adren-"
"u-rê","adrenal"
"ù","adrenalcortical"
"ù","adrenalectomy"
"ủ","adrenalectomies"
"ủ","adrenalectomize"
"ú","adrenalectomized"
"ụ","adrenalectomizing"
"ùa","Adrenalin"
"ùa","adrenaline"
"ủa","adrenalize"
"ủa","adrenally"
"úa","adrenalone"
"úa","adrenals"
"ụa","adrench"
"uất","adrenergic"
"uẩy","adrenin"
"ục","adrenine"
"ủi","adrenitis"
"ủi","adreno"
"úi","adrenochrome"
"úi","adrenocortical"
"um","adrenocorticosteroid"
"ùm","adrenocorticotrophic"
"ùm","adrenocorticotrophin"
"úm","adrenocorticotropic"
"un","adrenolysis"
"ùn","adrenolytic"
"ung","adrenomedullary"
"ung","adrenosterone"
"ùng","adrenotrophin"
"ủng","adrenotropic"
"ủng","adrent"
"úng","Adrestus"
"úng","adret"
"uốn","adry"
"uốn","Adria"
"uổng","Adriaen"
"uống","Adriaens"
"uống","Adrial"
"uở","adriamycin"
"úp","Adrian"
"úp","Adriana"
"ụp","Adriane"
"út","Adrianna"
"út","Adrianne"
"uy","Adriano"
"uỷ","Adrianople"
