"Nepali","English"
"हीरा","acquisited"
"हुक","acquisition"
"हुन","acquisitional"
"हुनसक्छ","acquisitions"
"हुनु","acquisition's"
"हुनेछ","acquisitive"
"हुन्छ","acquisitively"
"हे","acquisitiveness"
"हेक","acquisitor"
"हेर","acquisitum"
"हेरचाह","acquist"
"हेरफेर","acquit"
"हेर्नु","acquital"
"हेर्नुहोस्","acquitment"
"हेलमेट","acquits"
"हेलिकप्टर","acquittal"
"हेलोवीन","acquittals"
"हो","acquittance"
"होइन","acquitted"
"होटल","acquitter"
"होस्ट","acquitting"
"ह्यान्डल","acquophonia"
"ह्वेल","acr-"
