"Luxembourgish","English"
"Verwaltung","acrostical"
"Verwaltungsrot","acrostically"
"Verweigerung","acrostichal"
"verweisen","Acrosticheae"
"verzeien","acrostichic"
"verzweifelt","acrostichoid"
"veteran","Acrostichum"
"Victoire","acrosticism"
"video","acrostics"
"viischt","acrostolia"
"vill","acrostolion"
"villverspriechend","acrostolium"
"Violatioun","acrotarsial"
"vir","acrotarsium"
"viraus","acroteleutic"
"Viraussetzung","acroter"
"viraussiichtlech","acroteral"
"viraussoen","acroteria"
"Viraussoen","acroterial"
"Virbereedung","acroteric"
"Virdeel","acroterion"
"virdrun","acroterium"
"virgesinn","acroterteria"
"virgoen","Acrothoracica"
"Virschlag","acrotic"
"virsiichteg","acrotism"
"virstellen","acrotisms"
"Virtrag","acrotomous"
"virtuell","Acrotreta"
"Viruert","Acrotretidae"
"virugoen","acrotrophic"
"virun","acrotrophoneurosis"
"Virus","Acrux"
"Virwëtz","ACRV"
"virwëtzeg","ACS"
"Visioun","ACSE"
"Visiteur","ACSNET"
"visuell","ACSU"
"vital","ACT"
"Vitamin","Acta"
"Vitesse","actability"
"Vize","actable"
"vläicht","Actaea"
"Vocabulaire","Actaeaceae"
"vokal","Actaeon"
"voll","Actaeonidae"
"Vollekszielung","acted"
"Vollzäit","actg"
"volumen","actg."
"Vorfahren","ACTH"
"vs","Actiad"
"Vue","Actian"
"Vugel","actify"
"vulnerabel","actification"
"vum","actifier"
"vun","actin"
"waakreg","actin-"
"waal","actinal"
"waarden","actinally"
"waarm","actinautography"
"Waasser","actinautographic"
"waat","actine"
"wäert","actinenchyma"
"Wäert","acting"
"wäertvoll","acting-out"
"wäertvollt","actings"
"Waff","Actinia"
"wagon","actiniae"
"Wahlen","actinian"
"Wahlrecht","actinians"
"Wahlziedel","Actiniaria"
"während","actiniarian"
"wahrscheinlech","actinias"
"Wahrscheinlechkeet","actinic"
"Währung","actinical"
"Wäin","actinically"
"Wäisheet","actinide"
"wäiss","actinides"
"wait","Actinidia"
"wäit","Actinidiaceae"
"Wand","actiniferous"
"wanderen","actiniform"
"wann","actinine"
"Wanter","actiniochrome"
"warnen","actiniohematin"
"Warnung","Actiniomorpha"
"Wäsch","actinism"
"wäschen","actinisms"
"web","Actinistia"
"Websäit","actinium"
"weder","actiniums"
"Wee","actino-"
"weed","actinobaccilli"
"Weekend","actinobacilli"
"Weenchen","actinobacillosis"
"weess","actinobacillotic"
"Weess","Actinobacillus"
"wéi","actinoblast"
"weiblech","actinobranch"
"weider","actinobranchia"
"weien","actinocarp"
"Weier","actinocarpic"
"wéineg","actinocarpous"
"wéini","actinochemical"
"wéinst","actinochemistry"
"weise","actinocrinid"
"weisen","Actinocrinidae"
"well","actinocrinite"
"wëll","Actinocrinus"
"wellen","actinocutitis"
"Wëllen","actinodermatitis"
"wëlles","actinodielectric"
"Wëllkomm","actinodrome"
"Welt","actinodromous"
"weltleche","actinoelectric"
"weltwäit","actinoelectrically"
"Wenkbrauwen","actinoelectricity"
"Wénkel","actinogonidiate"
"wénken","actinogram"
"wënschen","actinograph"
"werfen","actinography"
"wëschen","actinographic"
"wesentlech","actinoid"
"Wëssen","Actinoida"
"Wëssenschaft","Actinoidea"
"wëssenschaftlech","actinoids"
"Wëssenschaftler","actinolite"
"Westen","actinolitic"
"westlech","actinology"
"wetten","actinologous"
"weu","actinologue"
"WHO","actinomere"
"wichteg","actinomeric"
"Wichtegkeet","actinometer"
"widderhuelen","actinometers"
"widderstoen","actinometry"
"widmen","actinometric"
"Wieder","actinometrical"
"Wieler","actinometricy"
"wielt","Actinomyces"
"wiem","actinomycese"
"Wierker","actinomycesous"
"wierklech","actinomycestal"
"wiirdeg","Actinomycetaceae"
"Wirtschaft","actinomycetal"
"wirtschaftlech","Actinomycetales"
"Wiss","actinomycete"
"witzeg","actinomycetous"
"Woch","actinomycin"
"wöchentlech","actinomycoma"
"wolf","actinomycosis"
"Wollek","actinomycosistic"
"Wonn","actinomycotic"
"Wonner","Actinomyxidia"
"wonnerbar","Actinomyxidiida"
"wonneren","actinomorphy"
"Wonsch","actinomorphic"
"Workshop","actinomorphous"
"wou","actinon"
"woubäi","Actinonema"
"Wouer","actinoneuritis"
"Wourecht","actinons"
"Wow","actinophone"
"Wuelbefannen","actinophonic"
"Wuelfillen","actinophore"
"Wueren","actinophorous"
"Wuert","actinophryan"
"wuertwiertlech","Actinophrys"
"wuessen","actinopod"
"Wuesstem","Actinopoda"
"Wunn-","actinopraxis"
"Wunnengen","actinopteran"
"Wüst","Actinopteri"
"Zait","actinopterygian"
"Zäit","Actinopterygii"
"zäitgenëssesch","actinopterygious"
"Zäitplang","actinopterous"
"Zaldot","actinoscopy"
"Zalot","actinosoma"
"Zänn","actinosome"
"Zauber","Actinosphaerium"
"ze","actinost"
"zéckt","actinostereoscopy"
"Zeechen","actinostomal"
"Zeechnen","actinostome"
"Zeegnes","actinotherapeutic"
"Zeen","actinotherapeutics"
"zefridden","actinotherapy"
"Zefriddenheet","actinotoxemia"
"Zeh","actinotrichium"
"Zeien","actinotrocha"
"zéien","actinouranium"
"Zeitung","Actinozoa"
"Zell","actinozoal"
"Zelt","actinozoan"
"Zëmmer","actinozoon"
"zéng","actins"
"zënter","actinula"
"zentral","actinulae"
"Zentrum","action"
"Zeremonie","actionability"
"zerstéieren","actionable"
"Zerstéierung","actionably"
"Zesummebroch","actional"
"zesummegesat","actionary"
"zesummen","actioner"
"Zesummenaarbecht","actiones"
"Zesummenhang","actionist"
"Zesummesetzung","actionize"
"Ziel","actionized"
"zielen","actionizing"
"Zigarett","actionless"
"Zil","actions"
"zimmlech","action's"
"Zitat","action-taking"
"zitéieren","actious"
"Zitroun","Actipylea"
"zivil","Actis"
"Zivilisatioun","Actium"
"z'iwwerpréiwen","activable"
"Zocker","activate"
"Zoll","activated"
"Zomm","activates"
"Zone","activating"
"Zong","activation"
"Zooss","activations"
"zopp","activator"
"zoufälleg","activators"
"Zougang","activator's"
"zougänglech","active"
"zougemaach","active-bodied"
"zouginn","actively"
"zoumaachen","active-limbed"
"zousätzlech","active-minded"
"Zousätzlech","activeness"
"Zoustand","actives"
"Zoustëmmung","activin"
"zouverlässeg","activism"
"Zouverlässegkeet","activisms"
"zouversiichtlech","activist"
"zouzeschreiwen","activistic"
"zréck","activists"
"zréckzéien","activist's"
"zu","activital"
"Zuch","activity"
"Zuel","activities"
"Zukunft","activity's"
"Zutate","activize"
"zwanzeg","activized"
"Zweck","activizing"
"zwee","actless"
"zweemol","actomyosin"
"zweeten","Acton"
"Zweiwel","Actor"
"zwéngen","actory"
"Zwiebel","Actoridae"
"zwielef","actorish"
"Zwilling","actor-manager"
"Zyklus","actor-proof"
